Country;Articles;Freq;SCP;MCP;MCP_Ratio
MALDIVES                ;   3;1.15e-04;   3;  0;0.0000
MONACO                  ;   3;1.15e-04;   0;  3;1.0000
MONGOLIA                ;   3;1.15e-04;   3;  0;0.0000
NICARAGUA               ;   3;1.15e-04;   2;  1;0.3333
RWANDA                  ;   3;1.15e-04;   1;  2;0.6667
SIERRA LEONE            ;   3;1.15e-04;   2;  1;0.3333
BARBADOS                ;   2;7.66e-05;   2;  0;0.0000
BENIN                   ;   2;7.66e-05;   0;  2;1.0000
CAMBODIA                ;   2;7.66e-05;   0;  2;1.0000
COSTA RICA              ;   2;7.66e-05;   1;  1;0.5000
DOMINICAN REPUBLIC      ;   2;7.66e-05;   2;  0;0.0000
GABON                   ;   2;7.66e-05;   1;  1;0.5000
JAMAICA                 ;   2;7.66e-05;   0;  2;1.0000
MYANMAR                 ;   2;7.66e-05;   2;  0;0.0000
PARAGUAY                ;   2;7.66e-05;   1;  1;0.5000
SENEGAL                 ;   2;7.66e-05;   0;  2;1.0000
YEMEN                   ;   2;7.66e-05;   2;  0;0.0000
ANDORRA                 ;   1;3.83e-05;   1;  0;0.0000
AZERBAIJAN              ;   1;3.83e-05;   1;  0;0.0000
BHUTAN                  ;   1;3.83e-05;   1;  0;0.0000
BOTSWANA                ;   1;3.83e-05;   0;  1;1.0000
BURKINA FASO            ;   1;3.83e-05;   0;  1;1.0000
BURUNDI                 ;   1;3.83e-05;   0;  1;1.0000
CENTRAL AFRICAN REPUBLIC;   1;3.83e-05;   1;  0;0.0000
CUBA                    ;   1;3.83e-05;   0;  1;1.0000
ESTONIA                 ;   1;3.83e-05;   1;  0;0.0000
FIJI                    ;   1;3.83e-05;   1;  0;0.0000
GUINEA                  ;   1;3.83e-05;   0;  1;1.0000
LATVIA                  ;   1;3.83e-05;   1;  0;0.0000
MACEDONIA               ;   1;3.83e-05;   1;  0;0.0000
SAMOA                   ;   1;3.83e-05;   1;  0;0.0000
SOMALIA                 ;   1;3.83e-05;   0;  1;1.0000
SYRIA                   ;   1;3.83e-05;   0;  1;1.0000
TOGO                    ;   1;3.83e-05;   0;  1;1.0000
TRINIDAD AND TOBAGO     ;   1;3.83e-05;   0;  1;1.0000
